"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 31 13:30:30 GMT 2021","Sat Jul 31 13:30:30 GMT 2021","219","","TestRegistration","","TestRegistration","TestRegistrationNoName","RI-02",""
"broken","Sat Jul 31 13:30:31 GMT 2021","Sat Jul 31 13:30:31 GMT 2021","147","","TestRegistration","","TestRegistration","TestRegistrationNoMatchPassword","RI-05",""
"broken","Sat Jul 31 13:30:31 GMT 2021","Sat Jul 31 13:30:31 GMT 2021","148","","TestRegistration","","TestRegistration","TestRegistrationNoEmailAddress","RI-01",""
"broken","Sat Jul 31 13:30:31 GMT 2021","Sat Jul 31 13:30:31 GMT 2021","148","","TestSignIn","","TestSignIn","TestSignInWrongPassword","BE-03",""
"broken","Sat Jul 31 13:30:30 GMT 2021","Sat Jul 31 13:30:30 GMT 2021","158","","TestRegistration","","TestRegistration","TestValidRegistration","RI-06",""
"broken","Sat Jul 31 13:30:31 GMT 2021","Sat Jul 31 13:30:31 GMT 2021","158","","TestSignIn","","TestSignIn","TestSignInEmptyPasswordField","BE-02",""
"broken","Sat Jul 31 13:30:31 GMT 2021","Sat Jul 31 13:30:31 GMT 2021","148","","TestSignIn","","TestSignIn","TestSignInEmptyNameInputField","BE-01",""
"broken","Sat Jul 31 13:30:29 GMT 2021","Sat Jul 31 13:30:30 GMT 2021","771","","TestSignOut","","TestSignOut","TestCompleteSignOut","LO-01",""
"broken","Sat Jul 31 13:30:31 GMT 2021","Sat Jul 31 13:30:31 GMT 2021","139","","TestSignIn","","TestSignIn","TestSignIn","BE-04",""
"broken","Sat Jul 31 13:30:30 GMT 2021","Sat Jul 31 13:30:30 GMT 2021","202","","TestRegistration","","TestRegistration","TestRegistrationNotValidPassword","RI-04",""
"broken","Sat Jul 31 13:30:30 GMT 2021","Sat Jul 31 13:30:31 GMT 2021","143","","TestRegistration","","TestRegistration","TestRegistrationNoPassword","RI-03",""
